Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef
library;ansi-styles;6.2.3;pkg:npm/ansi-styles@6.2.3;;https://www.npmjs.com/package/ansi-styles;https://registry.npmjs.org/ansi-styles/-/ansi-styles-6.2.3.tgz;;MIT;;8c3886c3207da20ad1ce3e17759922f8653cdb42eb3434faedf897b681a3a8bdeac53aa143761eea6d7bf31a21e2dc96921364d8206c6097fd976face34822c7;cc28e1b5-352e-4765-b6a7-f10a63afd52e
library;@antfu/utils;0.7.10;pkg:npm/%40antfu/utils@0.7.10;@antfu;https://www.npmjs.com/package/@antfu/utils;https://registry.npmjs.org/@antfu/utils/-/utils-0.7.10.tgz;;MIT;;cca99a444d45052f327785b1c66a34b6d883d6c25a8eb2adee96ad032d1916d72001d7f90ef398eb731810110243ecf66521b24301e65b01fb9797578b3e8c93;32e14219-9647-41dd-9c4b-9c6de92c3c07
library;argparse;2.0.1;pkg:npm/argparse@2.0.1;;https://www.npmjs.com/package/argparse;https://registry.npmjs.org/argparse/-/argparse-2.0.1.tgz;;Python-2.0;;786cee2cff89d82e80b79367dd1bf68df0d4019da1425f2a898b8b57c8063765e780c36dd5d5c97e51488230bad081c20847a5cb8384837f1d1e197638f347c3;3d9c35d5-ec70-4b51-bc30-b2c1a20d6775
library;aria-query;5.3.0;pkg:npm/aria-query@5.3.0;;https://www.npmjs.com/package/aria-query;https://registry.npmjs.org/aria-query/-/aria-query-5.3.0.tgz;;Apache-2.0;;8b746dbd6666b6d40ffb55e63c481638edc048012c410df76bcac51603222674cc3b5383ac8c56f7fec70e03b9d79872e52c52712a0563db8ba5bb0adaf6e08e;0f4871ef-0871-4e48-9857-02032c076a03
library;@asamuzakjp/css-color;3.2.0;pkg:npm/%40asamuzakjp/css-color@3.2.0;@asamuzakjp;https://www.npmjs.com/package/@asamuzakjp/css-color;https://registry.npmjs.org/@asamuzakjp/css-color/-/css-color-3.2.0.tgz;;MIT;;bbc8b207a1573f41dc0d652a6717ca29fe422caa9b03faeb560e7d670b6e54e00baba875e857ce6b704057759b1d9b9f3fe7caf775a7bb2dd5e651be81078511;4770c875-a6f3-4f4e-8295-ef2e13f47380
library;asap;2.0.6;pkg:npm/asap@2.0.6;;https://www.npmjs.com/package/asap;https://registry.npmjs.org/asap/-/asap-2.0.6.tgz;;MIT;;eaa04e5b31fdeb6c23fb63c20c540d1dc50bd2cb1c487f965b46338469b94282734dad95fc20fc232d596fb84d425dfb9a924a532a1b85a090c2c75c1f257ba7;acd5343c-ccbe-422d-943c-f95fc16b3a1e
library;assertion-error;2.0.1;pkg:npm/assertion-error@2.0.1;;https://www.npmjs.com/package/assertion-error;https://registry.npmjs.org/assertion-error/-/assertion-error-2.0.1.tgz;;MIT;;c16e03174d0502d022666f54de4b408eb8f27d93eb0fb89c0f06ed11c01b1d0dbd146443112ecdd4ef6d92d2c4c766eee357b271044e47f8d25a2c7988764005;d17cb7b3-c58c-497e-9c0d-c3b94b2e1968
library;assert-never;1.4.0;pkg:npm/assert-never@1.4.0;;https://www.npmjs.com/package/assert-never;https://registry.npmjs.org/assert-never/-/assert-never-1.4.0.tgz;;MIT;;7b60300ba6caeab022e07c02426ad8f50108f4c79807d2c574a0b7eed42817e47083d5d0cf5035fac14bda51811a269e8dce4111c9f9970db6dfee0ceea83197;eab81b19-978f-4345-b56b-b7617c340a8a
library;ast-types;0.16.1;pkg:npm/ast-types@0.16.1;;https://www.npmjs.com/package/ast-types;https://registry.npmjs.org/ast-types/-/ast-types-0.16.1.tgz;;MIT;;758b4bd11435e12ae62e8a630bbc9374ffa97e53243a1dcd1d940e31fa496aa0945d7e4692754a3b4f94a7ae99e8e803e60ec02893f171c10280930cd628f895;8e394202-aa09-433a-ad05-6b813967c562
library;ast-v8-to-istanbul;0.3.12;pkg:npm/ast-v8-to-istanbul@0.3.12;;https://www.npmjs.com/package/ast-v8-to-istanbul;https://registry.npmjs.org/ast-v8-to-istanbul/-/ast-v8-to-istanbul-0.3.12.tgz;;MIT;;e8f49f1ed5d84b2c46def52d7279bae778419ad4b1beff2587baf4aad3e2d640c727311bf25736d6daed4ec6ab92999a31b7cb0f544f93f2630a8ab760afb86f;5e91cd08-411a-43db-97ec-3abea3133ebe
